Occupation,Sex,Earnings,Year
General and operations managers,Men,"91,825",2023
General and operations managers,Women,"73,973",2023
General and operations managers,Men,88195,2022
General and operations managers,Women,71358,2022
General and operations managers,Men ,85730,2021
General and operations managers,Women,65378,2021
General and operations managers,Men,80489,2019
General and operations managers,Women,61643,2019
General and operations managers,Men,79457,2018
General and operations managers,Women,60618,2018
General and operations managers,Men,76691,2017
General and operations managers,Women,61202,2017
General and operations managers,Men,76246,2016
General and operations managers,Women,56906,2016
General and operations managers,Men,75067,2015
General and operations managers,Women,57384,2015
General and operations managers,Men,74888,2014
General and operations managers,Women,53539,2014
General and operations managers,Men,81041,2013
General and operations managers,Women,60759,2013
General and operations managers,,,
Elementary and middle school teachers,Men,"64,189",2023
Elementary and middle school teachers,Women,"58,730",2023
Elementary and middle school teachers,Men,62514,2022
Elementary and middle school teachers,Women,57590,2022
Elementary and middle school teachers,Men,60438,2021
Elementary and middle school teachers,Women,55272,2021
Elementary and middle school teachers,Men,57041,2019
Elementary and middle school teachers,Women,51787,2019
Elementary and middle school teachers,Men,56630,2018
Elementary and middle school teachers,Women,51277,2018
Elementary and middle school teachers,Men,56059,2017
Elementary and middle school teachers,Women,55092,2017
Elementary and middle school teachers,Men,58065,2016
Elementary and middle school teachers,Women,52347,2016
Elementary and middle school teachers,Men,61418,2015
Elementary and middle school teachers,Women,52418,2015
Elementary and middle school teachers,Men,62207,2014
Elementary and middle school teachers,Women,52479,2014
Elementary and middle school teachers,Men,60192,2013
Elementary and middle school teachers,Women,51219,2013
Registered nurses,Men,"90,134",2023
Registered nurses,Women,"80,705",2023
Registered nurses,Men,84879,2022
Registered nurses,Women,77582,2022
Registered nurses,Men,80003,2021
Registered nurses,Women,73201,2021
Registered nurses,Men,73603,2019
Registered nurses,Women,68509,2019
Registered nurses,Men,72084,2018
Registered nurses,Women,66871,2018
Registered nurses,Men,40500,2017
Registered nurses,Women,38670,2017
Registered nurses,Men,34833,2016
Registered nurses,Women,32219,2016
Registered nurses,Women,40154,2015
Registered nurses,Men,32452,2015
Registered nurses,Men,34706,2014
Registered nurses,Women,30741,2014
Registered nurses,Men,35656,2013
Registered nurses,Women,32462,2013